Almonds, Garbage, School Store
Bagel Wrapper, Garbage, Jumpin' Jimmy's
Burrito, Compost, Taco Bell
Burrito, Compost, Taco Del Mar
Chef Special, Compost, Cafeteria
Chocolate Milk, Recycle, School Store
Coffee Cup, Recycle, Jumpin' Jimmy's
Cookie Wrapper, Garbage, Jumpin' Jimmy's
Cup, Recycle, Starbucks
Dirty Napkin, Compost, Cafeteria
Dirty Napkin, Compost, El Camion
Foil, Garbage, Dick's
Foil, Garbage, El Camion
Foil, Garbage, Taco Del Mar
Fork, Garbage, Cafeteria
Fries, Compost, Cafeteria
Fruit, Compost, Top Banana
Gatorade, Recycle, School Store
Knife, Garbage, Cafeteria
Kombucha Bottle, Recycle, QFC
Luna Bars, Garbage, School Store
Lunch Tray, Compost, Cafeteria
Milk Carton, Garbage, Cafeteria
Muffin Wrapper, Garbage, Jumpin' Jimmy's
Paper Bag, Compost, Dick's
Paper Boat, Compost, Cafeteria
Pastry Bag, Compost, Starbucks
Peanuts, Garbage, School Store
Pizza Box, Compost, MOD
Pizza, Compost, Cafeteria
Pizza, Compost, MOD
Plastic Bag, Garbage, Mae Ploy
Pop Chips, Garbage, School Store
Pop Tart Wrapper, Garbage, Vend Machine
Pop Tart, Compost, Vend Machine
Sandwich, Compost, Cafeteria
Sandwich, Compost, Jimmy John's
Smoothie Cup, Compost, School Store
Sparkling Ice, Recycle, School Store
Spoon, Garbage, Cafeteria
Straw, Compost, School Store
Straw, Recycle, Starbucks
Sun Chips, Garbage, School Store
Take Out Box, Compost, Tony's Teriyaki
Take Out Box, Garbage, Mae Ploy
Talking Rain, Recycle, School Store
Tea Bag, Compost, Jumpin' Jimmy's
Water, Recycle, School Store
Water, Recycle, Vend Machine
Ziploc Bag, Garbage, Cafeteria